Price,Name,Rating
"23,990","Samsung 8 Kg, 5 Star, Hygiene Steam, Ecobubble, Quick Wash, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA40F08H2CTL, In-Built Heater, Stainwash, Deep Charcoal)",4.4 out of 5 stars
"12,790","Midea 7.5 Kg 5 Star Fully Automatic Top Load Washing Machine, Spiral Stream Tub, Dual Waterfall, 6 Petal Pulsator, Magic Filter (MWMTL075FP0PNMB, Auto Restart, Mid Black)",4.7 out of 5 stars
,"Whirlpool 7 Kg 5 Star Inverter Front Load Washing Machine with In-Built Heater (SUPREME CARE 7012 -E, Midnight Grey, 100+ Tough Stains, Steam Technology, 2025 Model)",4.0 out of 5 stars
"25,490","IFB 6 Kg 5 Star, DeepClean® Technology, AI Powered, Fully Automatic Front Load Washing Machine (DIVA GXN 6010 CMS, PowerSteam®, 9 Swirl, Steam Refresh, Inbuilt Heater, Eco Inverter, Grey)",4.2 out of 5 stars
"20,690","Samsung Smart Choice 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",4.0 out of 5 stars
,"Midea 7 kg 5 Star Semi Automatic Top Load Washing Machine Blue (MWMSA070PPG(BW), Rat Away Feature)",3.5 out of 5 stars
"8,099",VW 8 kg 5 Star Super Wash Semi Automatic Top Load Washing Machine SuperWash0080P (White & Burgundy),4.3 out of 5 stars
"8,440","SHARP 7 kg, 5 star with E-Spin Pulsator,Semi-Automatic Top Loading Washing Machine, 1300 RPM (ES-SD70NB-FR, Ruby Red, Pure Wave)",3.8 out of 5 stars
"28,990","Haier 7 Kg AI One Touch, AI Smart Wash (AI-DBT), PuriSteam, 525mm Super Drum, In-Built Heater,WI-FI, Fully Automatic Front Load Washing Machine, (EFL70-IM12F3BKU1 | Black)",4.0 out of 5 stars
"25,990","Samsung Smart Choice 10 Kg, 5 Star, AI Wash, AI Energy Mode, Wi-Fi, Ecobubble, AI VRT+, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA80F10E2LTL, Lavender Gray)",4.2 out of 5 stars
"19,490","Whirlpool 8 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey (MAGIC CLEAN ELT 8.0 GREY 10YMW, Hard Water Wash)",4.0 out of 5 stars
,"Godrej 7.5 Kg 5 Star, AI Powered, Inbuilt Heater, Fills Tub At ~0 Water Pressure, Fully Automatic Top Load Washing Machine (WTEON ALP 75 5.0 FDAG GPGR, Graphite Grey)",4.0 out of 5 stars
"20,690","Samsung Smart Choice 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",4.0 out of 5 stars
"41,990","LG Smart Choice, 9 Kg, 5 Star, AI Direct Drive Technology, Steam, 6 Motion DD & Wi-Fi Fully-Automatic Front Load Washing Machine (FHP1209Z5M, Intelligent & Convenient Fabric Care, Middle Black)",4.3 out of 5 stars
,"Samsung 8 kg, 5 star, Semi-Automatic Top Load Washing Machine (WT80C4200GG/TL, Air Turbo Drying, Light Gray, 5 Year Warranty on Wash Motor)",4.2 out of 5 stars
"21,990","Samsung 8 Kg, 5 Star, AI Wash, AI Energy Mode, Wi-Fi, Ecobubble, AI VRT+, Super Speed, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA80F08S2LTL, Lavender Gray)",4.0 out of 5 stars
"24,490","Voltas Beko, A Tata Product 7 Kg 5 Star Inverter Quick wash Fully-Automatic Front Loading Washing Machine (WFL7012B7JVBKA/AXV, Anthracite, In buit Heater/Hygiene steam)",4.0 out of 5 stars
"35,489","Samsung 8 kg, 5 star, AI Control, AI Eco Bubble, Wi-Fi, Digital Inverter, Motor, Fully-Automatic Front Load Washing Machine (WW80T504DAX1TL, Hygiene Steam, Inox)",4.2 out of 5 stars
,"Whirlpool 7 kg 5 Star Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ELITE 7.0, Grey, Hard Water Wash)",4.2 out of 5 stars
"18,549","Samsung 7 Kg Inverter Ecobubble 5 Star Fully Automatic Top Load Washing Machine (WA70BG4441BYTL,Lavender Gray)",3.9 out of 5 stars
"12,990",ionstar 7 KG 5 Star Fully Automatic Top Loading Washing Machine/10 Ai+ Washing Programs/Heavy Duty/Dual Action Magic Filter/Deep Clean/Quick Wash/Auto Balancer/Powerful Copper Motor (70HYDRO-P4BG-N1),3.7 out of 5 stars
"27,490","LG Smart Choice, 7 Kg, 5 Star, Steam, Inverter Direct Drive Technology, 6 Motion DD, Fully-Automatic Front Load Washing Machine (FHB1207Z2W, Remove Allergens & Stain, In-Built Heater, Essence White)",4.3 out of 5 stars
"19,490","Whirlpool 8 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey (MAGIC CLEAN ELT 8.0 GREY 10YMW, Hard Water Wash)",4.0 out of 5 stars
"23,990","Samsung 8 Kg, 5 Star, Hygiene Steam, Ecobubble, Quick Wash, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA40F08H2CTL, In-Built Heater, Stainwash, Deep Charcoal)",4.4 out of 5 stars
"10,790","Whirlpool 6.5 Kg 5 Star Magic Clean Semi-Automatic Top Loading Washing Machine (MAGIC CLEAN 6.5 GREY, 4 Year Comprehensive Warranty, 1400 RPM Motor, 5 Year Motor Warranty)",4.2 out of 5 stars
,"Samsung 7 kg, 5 star, Semi-Automatic Top Load Washing Machine (WT70C3200LL/TL, Air Turbo Drying, Light Gray, 2023 Model)",
,"LG 7 Kg 5 Star Steam, Inverter Direct Drive Technology, 6 Motion DD, Fully-Automatic Front Load Washing Machine (FHB1207Z2WB, In-Built Heater, Dial + Full Touch Buttons & LED Display, Essence White)",4.2 out of 5 stars
,"Voltas Beko, A Tata Product 9 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WTT90UHA/OK5B1B1S23, Black, Pulsator Wash Method and Double waterfall technology)",4.1 out of 5 stars
"7,490","Midea 6.5 kg 5 Star Semi Automatic Top Load Washing Machine Maroon, Rust Proof Body (MWMSA065PPG(MW), Rat Away Feature)",4.0 out of 5 stars
,Whirlpool Whitemagic Elite 7kg 5 Star Fully Automatic Top-Load Washing Machine - Grey,3.4 out of 5 stars
"24,190","Voltas Beko, A Tata Product 11 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTL1106UEAH / OBS3060, Dark Grey, Inbuilt Heater)",4.1 out of 5 stars
"21,290",Whirlpool 8 Kg 5 MAGIC CLEAN PRO SW H Fully Automatic Top Load Washing Machine (MAGIC CLEAN PRO SW H KG GREY 10YMW with In-Built Heater),4.0 out of 5 stars
"23,990","Samsung 8 Kg, 5 Star, Hygiene Steam, Ecobubble, Quick Wash, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA40F08H2CTL, In-Built Heater, Stainwash, Deep Charcoal)",4.4 out of 5 stars
"27,490","LG Smart Choice, 7 Kg, 5 Star, Steam, Inverter Direct Drive Technology, 6 Motion DD, Fully-Automatic Front Load Washing Machine (FHB1207Z2W, Remove Allergens & Stain, In-Built Heater, Essence White)",4.3 out of 5 stars
"18,790",Whirlpool 7.0 Kg 5 Star StainWash Magic Clean Pro Fully Automatic Top Load Washing Machine (MAGIC CLEAN PRO SW 7.0 (H) GREY 10YMW with In-Built Heater),4.0 out of 5 stars
"12,420","Voltas beko, A Tata Product 8.5 kg 5 Star Semi-Automatic Top Load Washing Machine With Double Water Fall technology (WTT85DBLG/FLRB5, Blue, Special Pulsator & 5 Knob Control Method)",4.2 out of 5 stars
"28,990","Haier 7 Kg 5 Star Powered by AI-DBT with PuriSteam, 525mm Super Drum Fully Automatic Front Load Washing Machine (HW70-IM12929BK, Inverter Motor with In-Built Heater, Black)",4.0 out of 5 stars
"15,890",Whirlpool 6 kg Magic Clean 5 Star and Digital Display Fully Automatic Top Load Washing Machine Grey (MAGIC CLEAN 6.0 GENX GREY 5YrMW,4.0 out of 5 stars
"35,190","Bosch 8 kg 5 Star Front Load Fully-Automatic Washing Machine, Steam Hygiene, AI ActiveWater, 15 Wash Programs, No Tangle or Wrinkle, SoftCare Paddle, Shiny Silver, WAJ2826BIN",4.2 out of 5 stars
"31,990","Lloyd Tru Slim 7 kg 3 Star Fully Automatic Front Load Washing Machine |1200 RPM | Detergent Storage Zone | 14 Wash Programs | In-Built Heater | Reload Function, GLWF703TSGGB, Graphite Black)",
"40,490","Samsung 9 kg, 5 star, AI EcoBubble, Super Speed, Wi-Fi, Hygiene Steam with Inbuilt Heater, Digital Inverter, Fully-Automatic Front Load Washing Machine (WW90DG5U24AXTL, Inox)",4.2 out of 5 stars
"15,490","LG 8.5 kg 5 Star Semi-Automatic Top Load Washing Machine (P8530SRAZ, Burgundy, Roller Jet Pulsator)",4.3 out of 5 stars
"17,990","Godrej 8 Kg 5 Star AI Powered, Inbuilt Heater, Fills Tub At ~0 Water Pressure, Fully Automatic Top Load Washing Machine (WTEON ADAC 80 5.0 FEFH GLGR, Glacial Grey)",3.8 out of 5 stars
"23,990","Samsung 8 Kg, 5 Star, Hygiene Steam, Ecobubble, Quick Wash, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA40F08H2CTL, In-Built Heater, Stainwash, Deep Charcoal)",4.4 out of 5 stars
"19,490","Whirlpool 8 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey (MAGIC CLEAN ELT 8.0 GREY 10YMW, Hard Water Wash)",4.0 out of 5 stars
"13,740","Voltas Beko, A Tata Product 10 Kg 5 Star Semi-Automatic Top Load Washing Machine (WTT100UPA/GR5KPTD, Grey, Special pulsator and Double waterfall Technology)",4.1 out of 5 stars
"25,990","Samsung Smart Choice 10 Kg, 5 Star, AI Wash, AI Energy Mode, Wi-Fi, Ecobubble, AI VRT+, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA80F10E2LTL, Lavender Gray)",4.2 out of 5 stars
,"Whirlpool 7 Kg 5 Star Inverter Front Load Fully Automatic Washing Machine with In-Built Heater (XS7010BWW52E, Crystal White, 100+ Tough Stains, Steam Technology, 6th Sense Soft Move, 2024 Model)",4.1 out of 5 stars
"1,999","Portable Washing Machine, 16L Mini Washing Machine With Spin Basket, Small Portable Washer Machine Suitable for Underwear Small Clothes Dryer Deep Cleaning B2",4.1 out of 5 stars
,"Godrej 7 Kg 5 star Semi-Automatic Top Loading Washing Machine (WSAXIS DX 70 5.0 SN2 T WNRD, Wine Red, 100% rust proof poly propylene body)",1.0 out of 5 stars
"14,490","LG 7.5 kg 5 Star Wind jet dry Semi-Automatic Top Load Washing Machine (P7510RGAZ, Dark Gray, Roller Jet Pulsator)",4.0 out of 5 stars
"16,990","Godrej 7.0 Kg 5 Star Fully-Automatic Top Loading Washing Machine Appliance with Roller Coaster (WTEON ADR 70 5.0 PFDTN GPGR, Graphite Grey)",1.0 out of 5 stars
,"LG 7 Kg 5 Star AI Direct Drive Fully-Automatic Front Loading Washing Machine (FHV1207Z2M, Middle Black, Steam for Hygiene Wash)",2.9 out of 5 stars
"20,690","Samsung Smart Choice 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",4.0 out of 5 stars
"25,990","Samsung Smart Choice 10 Kg, 5 Star, AI Wash, AI Energy Mode, Wi-Fi, Ecobubble, AI VRT+, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA80F10E2LTL, Lavender Gray)",4.2 out of 5 stars
"27,490","LG Smart Choice, 7 Kg, 5 Star, Steam, Inverter Direct Drive Technology, 6 Motion DD, Fully-Automatic Front Load Washing Machine (FHB1207Z2W, Remove Allergens & Stain, In-Built Heater, Essence White)",4.3 out of 5 stars
"18,790",Whirlpool 7.0 Kg 5 Star StainWash Magic Clean Pro Fully Automatic Top Load Washing Machine (MAGIC CLEAN PRO SW 7.0 (H) GREY 10YMW with In-Built Heater),4.0 out of 5 stars
,"LG 7 Kg 5 Star AI Direct Drive Fully-Automatic Front Loading Washing Machine (FHV1207Z2M, Middle Black, Steam for Hygiene Wash)",2.9 out of 5 stars
,Bosch 7 Kg Top Load Washing Machine (WOE703S0IN-N_Silver),3.6 out of 5 stars
"29,999","Panasonic 7 kg 5 Star Built-in Heater Fully Automatic Front Loading Washing Machine (NA-127MB3L01, Grey)",2.0 out of 5 stars
"22,990","HAFELE AMARA 7 kg 5 Star, Premium Fully Automatic Front-Load washing machine engineered using German technology, comes with Steam Shield and Hexa Wash Design",3.2 out of 5 stars
"17,990","Voltas Beko 7.0 Kg, 5 Star, Inverter, Fully Automatic Top Load Washing Machine (WTL70VPSGX, Grey),Fountain Wash",3.3 out of 5 stars
,"Godrej 7. Kg 5 Star Fully-Automatic Top Loading Washing Machine Appliance with Roller Coaster (WTEON ALR C 70 5.0 FDANS GPGR, Graphite Grey)",
,"Whirlpool 7 kg 5 Star Supreme Plus Semi-Automatic Top Loading Washing Machine (ACE 7.0 SUPREME CORAL RED (CORAL RED), 1400 RPM Motor (5YR))",4.1 out of 5 stars
,"Elista 7.0 kg 5 Star Semi Automatic Top Load Washing Machine with 2 Years Comprehensive Warranty (EM70ARD, RED)",
"20,690","Samsung Smart Choice 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",4.0 out of 5 stars
"25,990","Samsung Smart Choice 10 Kg, 5 Star, AI Wash, AI Energy Mode, Wi-Fi, Ecobubble, AI VRT+, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA80F10E2LTL, Lavender Gray)",4.2 out of 5 stars
"16,990","Lloyd Neo Executive 7 kg 5 Star Fully Automatic Top Load Washing Machine |710 RPM | Detergent Storage Zone | 14 Wash Programs | In-Built Heater | Reload Function, GLWT705NORIG, Inox Grey)",5.0 out of 5 stars
,"SUMMERCOOL Lagan 7.0 kg 5 Star Semi-Automatic Top Loading Washing Machine, Red and White, Powerful Motor, Active Foam System, Effective Wash Pulsator, 5 Years Warranty on wash Motor)",5.0 out of 5 stars
"33,190","IFB 7 Kg 5 Star Front Load Washing Machine 2X Power Steam (ELITE ZRS 7012, Red, In-built Heater, 4 years Comprehensive Warranty)",3.8 out of 5 stars
,"Samsung 7.0 Kg Wi-Fi Enabled Inverter Fully-Automatic Front Loading Washing Machine (WW70T502DAB/TL,Black Caviar,AI Control)",5.0 out of 5 stars
,"BPL 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine, Maroon Red, BWS-N70EASMD",3.9 out of 5 stars
,"Bosch 7 kg 5 Star Fully-Automatic Front Loading Washing Machine (WGA12208IN, Black Grey,Anti Wrinkle, In-Built Heater)",3.3 out of 5 stars
,"IFB 7 Kg 5 Star Front Load Washing Machine 2X Power Steam (NEO DIVA VXS 7010, White, In-built Heater, 4 years Comprehensive Warranty )",4.2 out of 5 stars
"30,990","Godrej 7 Kg Eco-Wash With 90 ºC Hot Wash Fully-Automatic Front Load Washing Machine (2024 Model, WFEON ARG 7012 5.0 FEBT SLSR, Silver Stream)",5.0 out of 5 stars
"23,990","Samsung 8 Kg, 5 Star, Hygiene Steam, Ecobubble, Quick Wash, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA40F08H2CTL, In-Built Heater, Stainwash, Deep Charcoal)",4.4 out of 5 stars
,"Godrej 7.5 Kg 5 Star, AI Powered, Inbuilt Heater, Fills Tub At ~0 Water Pressure, Fully Automatic Top Load Washing Machine (WTEON ALP 75 5.0 FDAG GPGR, Graphite Grey)",4.0 out of 5 stars
"27,490","LG Smart Choice, 7 Kg, 5 Star, Steam, Inverter Direct Drive Technology, 6 Motion DD, Fully-Automatic Front Load Washing Machine (FHB1207Z2W, Remove Allergens & Stain, In-Built Heater, Essence White)",4.3 out of 5 stars
,"Godrej 7.5 Kg 5 Star, AI Powered, Inbuilt Heater, Fills Tub At ~0 Water Pressure, Fully Automatic Top Load Washing Machine (WTEON ALP 75 5.0 FDAG GPGR, Graphite Grey)",4.0 out of 5 stars
"30,990","Godrej 7 Kg Eco-Wash With 90 ºC Hot Wash Fully-Automatic Front Load Washing Machine (2024 Model, WFEON ARG 7012 5.0 FEBT SLSR, Silver Stream)",5.0 out of 5 stars
"23,999",Bosch 7 Kg Top Load Washing Machine (WOE701D0IN-N_DarkGrey),2.9 out of 5 stars
,"Samsung 7 kg, 5 Star, Semi-Automatic Top Load Washing Machine (WT70C3000RR/TL, Air Turbo Drying, Light Gray)",4.2 out of 5 stars
,"Whirlpool Whirlppol 7 Kg 5 Star Ace Sup Soak Semi-Automatic Top Loading Washing Machine (Ace 7.0 Sup Soak Grey, Fast Drying)",3.3 out of 5 stars
"20,289","Godrej 7 Kg 5 Star With 360 W powermaxx Motor wash Fully-Automatic Top Loading Washing Machine With 26 Flexi Wash Programs (WTEON VLVT 70 5.0 FDTN MTBK, Metallic Black)",5.0 out of 5 stars
,"Bosch 7 kg 5 Star 1200 rpm Series 4 Front Load washing machine (2024 Model, WGA1220SIN Silver)",5.0 out of 5 stars
,"IFB 7 Kg 5 Star Front Load Washing Machine Appliance with Power Steam (NEO DIVA SXS 7010, Silver, 1000 RPM)",5.0 out of 5 stars
,"LG 7.0 kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHT1007ZNW, White, 6 Motion Direct Drive)",4.3 out of 5 stars
"20,690","Samsung Smart Choice 8 kg, 5 star, Eco Bubble Tech, Digital Inverter Motor, Soft Closing Door, Fully-Automatic Top Load Washing Machine (WA80BG4441BGTL, Light Gray)",4.0 out of 5 stars
"18,790",Whirlpool 7.0 Kg 5 Star StainWash Magic Clean Pro Fully Automatic Top Load Washing Machine (MAGIC CLEAN PRO SW 7.0 (H) GREY 10YMW with In-Built Heater),4.0 out of 5 stars
"11,190","Lloyd 7 kg 5 Star Semi Automatic Top Load Washing Machine |1300 RPM | Detergent Storage Zone | 3 Wash Programs | Swift Dry | Magic Filter, GLWS705AODDG, Dark Grey and White)",3.7 out of 5 stars
"9,490","SHARP 7 kg, 5 star with E-Spin Pulsator,Semi-Automatic Top Loading Washing Machine, 1300 RPM (ES-SD70NB-PS, Steel Grey, Pure Wave)",3.8 out of 5 stars
,"LG 7 Kg 5 Star Inverter TurboDrum Fully Automatic Top Loading Washing Machine (T70AJMB1Z, Jet Spray+, Smart Closing Door, Middle Black)",4.7 out of 5 stars
,"LG 7 kg Inverter Fully-Automatic Front Loading Washing Machine (FHT1207SWL.ALSPEIL, Silver, Inbuilt Heater)",4.3 out of 5 stars
,"IFB 7 Kg 5 Star AI Powered Fully Automatic Top Load Washing Machine (TL S1BRS 7.0Kg Aqua, Brown, 2X Power Steam, 4 Years Comprehensive Warranty)",2.5 out of 5 stars
,"Voltas Beko 7 kg Semi-Automatic Top Loading Washing Machine Appliance, Double Waterfall (WTT70DBLT, Sky Blue)",4.1 out of 5 stars
,"Haier 7 Kg 5 Star Anti-Bacterial Vortex Pulsator Semi Automatic Top Load Washing Machine Appliance Burgundy (HTW70-178FLN, White, Toughened Glass)",
,"Samsung 7 KG Front Load washing machine, EcoBubble, DIT Motor, Hygiene Steam, WW70R22EK0X",5.0 out of 5 stars
"23,990","Samsung 8 Kg, 5 Star, Hygiene Steam, Ecobubble, Quick Wash, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA40F08H2CTL, In-Built Heater, Stainwash, Deep Charcoal)",4.4 out of 5 stars
"25,990","Samsung Smart Choice 10 Kg, 5 Star, AI Wash, AI Energy Mode, Wi-Fi, Ecobubble, AI VRT+, Soft Closing Door, Digital Inverter, Fully-Automatic Top Load Washing Machine (WA80F10E2LTL, Lavender Gray)",4.2 out of 5 stars
